aid,evDesc1,evDesc2,evDesc3,evType,ts
6ad936b7-2b53-4444-99e8-ad6ea9e3e895,inactive => active,,,evStateChange,2020-08-26T00:03:00.820Z
6ad936b7-2b53-4444-99e8-ad6ea9e3e895,active => inactive,,,evStateChange,2020-08-26T00:03:05.571Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,0.9.2 (29),"android,cordova,capacitor,mobile,hybrid,motorola,Moto G Play,android,6.0.1,android",n/a,evStart,2020-08-26T00:05:01.505Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,Labels Search,en,,evViewPage,2020-08-26T00:05:03.601Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,0.9.2 (29),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,12.4.6,ios","(47.69831102140851,-122.37053233536898)",evStart,2020-08-26T00:05:23.548Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,Labels Search,en,,evViewPage,2020-08-26T00:05:23.939Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,PICOL Search,en,,evViewPage,2020-08-26T00:05:35.367Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,Resources,en,,evViewPage,2020-08-26T00:05:35.795Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,active => inactive,,,evStateChange,2020-08-26T00:05:45.173Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,Resources,en,,evViewPage,2020-08-26T00:06:02.827Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,inactive => active,,,evStateChange,2020-08-26T00:06:29.921Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,active => inactive,,,evStateChange,2020-08-26T00:06:32.270Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,inactive => active,,,evStateChange,2020-08-26T00:06:49.600Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,active => inactive,,,evStateChange,2020-08-26T00:06:52.750Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,inactive => active,,,evStateChange,2020-08-26T00:07:13.026Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,active => inactive,,,evStateChange,2020-08-26T00:07:16.204Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,inactive => active,,,evStateChange,2020-08-26T00:07:24.713Z
ac1e51c717cdc4efc891f63dc74e49ff3b9b4d4243672f46bcd47c14a7e43883,active => inactive,,,evStateChange,2020-08-26T00:08:26.047Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,0.9.2 (29),"android,cordova,capacitor,mobile,hybrid,motorola,Moto G Play,android,6.0.1,android",n/a,evStart,2020-08-26T00:11:34.921Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,Labels Search,en,,evViewPage,2020-08-26T00:11:37.528Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,PICOL Search,en,,evViewPage,2020-08-26T00:12:11.278Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,Resources,en,,evViewPage,2020-08-26T00:12:18.100Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,Labels Search,en,,evViewPage,2020-08-26T00:12:41.152Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,Resources,en,,evViewPage,2020-08-26T00:12:42.250Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,active => inactive,,,evStateChange,2020-08-26T00:12:45.391Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,inactive => active,,,evStateChange,2020-08-26T00:12:48.415Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,active => inactive,,,evStateChange,2020-08-26T00:12:51.929Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,inactive => active,,,evStateChange,2020-08-26T00:12:54.364Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,PICOL Search,en,,evViewPage,2020-08-26T00:12:57.666Z
97362f1ba9b08a01f001a4b5c1d5a6a15d296aadf248847e157e5efe41f8c2c2,Resources,en,,evViewPage,2020-08-26T00:13:21.442Z
51f2232b-ee92-461d-88ef-65ee8de0c359,0.7.20 (28),Pixel 3a: Android 10,"(47.6984055,-122.3704656)",evStart,2020-08-26T12:34:27.716Z
51f2232b-ee92-461d-88ef-65ee8de0c359,Labels Search,es,,evViewPage,2020-08-26T12:34:27.935Z
51f2232b-ee92-461d-88ef-65ee8de0c359,active => inactive,,,evStateChange,2020-08-26T12:34:36.610Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,1.0.0 (30),"iphone,ios,phablet,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6,ios","(47.698298,-122.37049784729292)",evStart,2020-08-26T16:34:30.461Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,Labels Search,es,,evViewPage,2020-08-26T16:34:30.616Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,51934-12,Cidetrak® Da Mec™,mec,evViewHS,2020-08-26T16:35:28.804Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,HS Label,es,Cidetrak® Da Mec™ | epa: 51934-12,evViewPage,2020-08-26T16:35:29.516Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,HS Label,es=>en,,evLanguageToggle,2020-08-26T16:35:54.532Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,PICOL Search,en,,evViewPage,2020-08-26T16:36:12.063Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,PICOL Search,en=>es,,evLanguageToggle,2020-08-26T16:36:40.428Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,81899-4-67419,THE ECOLOGY WORKS SOLUNEEM,neem,evViewPICOL,2020-08-26T16:37:18.159Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,PICOL Label,es,THE ECOLOGY WORKS SOLUNEEM | epa: 81899-4-67419,evViewPage,2020-08-26T16:37:18.753Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,active => inactive,,,evStateChange,2020-08-26T17:57:07.094Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,1.0.0 (30),"iphone,ios,phablet,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6,ios","(47.698298,-122.37049784729292)",evStart,2020-08-26T20:32:44.510Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,Labels Search,es,,evViewPage,2020-08-26T20:32:44.646Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,51934-12,Cidetrak® Da Mec™,mec,evViewHS,2020-08-26T20:33:34.109Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,HS Label,es,Cidetrak® Da Mec™ | epa: 51934-12,evViewPage,2020-08-26T20:33:34.816Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,HS Label,es=>en,,evLanguageToggle,2020-08-26T20:34:02.732Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,HS Label,en=>es,,evLanguageToggle,2020-08-26T20:34:16.719Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,HS Label,es=>en,,evLanguageToggle,2020-08-26T20:34:31.751Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,active => inactive,,,evStateChange,2020-08-26T20:38:49.677Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,1.0.0 (30),"iphone,ios,phablet,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6,ios","(47.698298,-122.37049784729292)",evStart,2020-08-26T22:44:34.685Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,Labels Search,es,,evViewPage,2020-08-26T22:44:34.824Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,More,en,,evViewPage,2020-08-26T22:44:43.423Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,EULA,en,,evViewPage,2020-08-26T22:44:48.054Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,active => inactive,,,evStateChange,2020-08-26T22:45:36.522Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,inactive => active,,,evStateChange,2020-08-26T22:45:46.554Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,EULA,es=>en,,evLanguageToggle,2020-08-26T22:47:39.881Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,active => inactive,,,evStateChange,2020-08-26T22:47:53.102Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,1.0.0 (30),"iphone,ios,phablet,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,13.6,ios","(47.698298,-122.37049784729292)",evStart,2020-08-26T22:53:43.580Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,Labels Search,es,,evViewPage,2020-08-26T22:53:43.706Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,More,en,,evViewPage,2020-08-26T22:53:48.178Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,EULA,en,,evViewPage,2020-08-26T22:53:51.862Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,active => inactive,,,evStateChange,2020-08-26T22:53:59.618Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,inactive => active,,,evStateChange,2020-08-26T22:54:07.126Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,active => inactive,,,evStateChange,2020-08-26T22:54:11.180Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,inactive => active,,,evStateChange,2020-08-26T22:54:42.639Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,Privacy,es,,evViewPage,2020-08-26T22:55:11.926Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,Privacy,es=>en,,evLanguageToggle,2020-08-26T22:55:20.876Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,Disclaimer,en,,evViewPage,2020-08-26T22:55:54.291Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,Labels Search,es,,evViewPage,2020-08-26T22:56:17.725Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,51934-12,Cidetrak® Da Mec™,mec,evViewHS,2020-08-26T22:56:25.611Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,HS Label,en,Cidetrak® Da Mec™ | epa: 51934-12,evViewPage,2020-08-26T22:56:26.218Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,HS Label,en=>es,,evLanguageToggle,2020-08-26T22:56:34.961Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,HS Label,es=>en,,evLanguageToggle,2020-08-26T22:56:37.793Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,HS Label,en=>es,,evLanguageToggle,2020-08-26T22:56:38.910Z
e6689634c0100d2e6ada504f710c49be1e02f77d85aefd42f2325c7fd1181e17,HS Label,es=>en,,evLanguageToggle,2020-08-26T22:56:40.977Z
