aid,evDesc1,evDesc2,evDesc3,evType,ts
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,1.0.4 (34),"android,cordova,capacitor,mobile,hybrid,LGE,LM-Q730,android,10,android",n/a,evStart,2021-01-04T20:11:24.922Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,Labels Search,es,,evViewPage,2021-01-04T20:11:25.460Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,active => inactive,,,evStateChange,2021-01-04T20:11:49.677Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,1.0.4 (34),"android,cordova,capacitor,mobile,hybrid,LGE,LM-Q730,android,10,android","(46.7156685,-119.9351538)",evStart,2021-01-05T04:06:28.948Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,Labels Search,es,,evViewPage,2021-01-05T04:06:29.497Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,active => inactive,,,evStateChange,2021-01-05T04:06:40.069Z
a7482d6dda33f2d97e9654ee54856f576ae91b8ff43018ca110f806d89bc7332,1.0.4 (34),"android,cordova,capacitor,mobile,hybrid,samsung,SM-G973U,android,10,android",n/a,evStart,2021-01-05T05:04:41.632Z
a7482d6dda33f2d97e9654ee54856f576ae91b8ff43018ca110f806d89bc7332,Labels Search,es,,evViewPage,2021-01-05T05:04:41.773Z
a7482d6dda33f2d97e9654ee54856f576ae91b8ff43018ca110f806d89bc7332,34704-447,Carbaryl 4L,,evViewHS,2021-01-05T05:04:58.333Z
a7482d6dda33f2d97e9654ee54856f576ae91b8ff43018ca110f806d89bc7332,HS Label,es,Carbaryl 4L | epa: 34704-447,evViewPage,2021-01-05T05:04:58.747Z
a7482d6dda33f2d97e9654ee54856f576ae91b8ff43018ca110f806d89bc7332,Labels Search,es=>en,,evLanguageToggle,2021-01-05T05:06:49.383Z
a7482d6dda33f2d97e9654ee54856f576ae91b8ff43018ca110f806d89bc7332,More,en,,evViewPage,2021-01-05T05:06:52.135Z
a7482d6dda33f2d97e9654ee54856f576ae91b8ff43018ca110f806d89bc7332,Labels Search,en,,evViewPage,2021-01-05T05:06:57.371Z
a7482d6dda33f2d97e9654ee54856f576ae91b8ff43018ca110f806d89bc7332,PICOL Search,en,,evViewPage,2021-01-05T05:06:59.468Z
a7482d6dda33f2d97e9654ee54856f576ae91b8ff43018ca110f806d89bc7332,Resources,en,,evViewPage,2021-01-05T05:07:38.626Z
a7482d6dda33f2d97e9654ee54856f576ae91b8ff43018ca110f806d89bc7332,active => inactive,,,evStateChange,2021-01-05T05:07:58.045Z
fc762934fc2ba3879c515370a86abb21f4f84ea315735c56531dac468aeed03a,1.0.4 (34),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.2,ios","(32.3585698515691,-95.35861494444697)",evStart,2021-01-05T17:33:01.710Z
fc762934fc2ba3879c515370a86abb21f4f84ea315735c56531dac468aeed03a,Labels Search,en,,evViewPage,2021-01-05T17:33:01.828Z
fc762934fc2ba3879c515370a86abb21f4f84ea315735c56531dac468aeed03a,Resources,en,,evViewPage,2021-01-05T17:33:11.290Z
