aid,evDesc1,evDesc2,evDesc3,evType,ts
ed7d9cdbdfa71ae8de461af5de167af96a08bb51efa7edd04349e13ae1cccd4c,62719-220-71058,Eraser™,era,evViewHS,2021-08-02T13:49:34.937Z
ed7d9cdbdfa71ae8de461af5de167af96a08bb51efa7edd04349e13ae1cccd4c,HS Label,en,Eraser™ | epa: 62719-220-71058,evViewPage,2021-08-02T13:49:35.591Z
ed7d9cdbdfa71ae8de461af5de167af96a08bb51efa7edd04349e13ae1cccd4c,HSLabel,Eraser™ | epa: 62719-220-71058,Category: Product Information,evCategoryOpen,2021-08-02T13:49:36.145Z
ed7d9cdbdfa71ae8de461af5de167af96a08bb51efa7edd04349e13ae1cccd4c,active => inactive,,,evStateChange,2021-08-02T13:49:49.685Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,QuestionPage3,es,,evViewPage,2021-08-02T22:35:38.950Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.15 (50),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.6,ios","(48.09822520999054,-119.78552458213264)",evStart,2021-08-02T22:35:52.231Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,Labels Search,es,,evViewPage,2021-08-02T22:35:52.288Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,56336-37,Check Mate CM-F,,evViewHS,2021-08-02T22:36:32.214Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,HS Label,es,Check Mate CM-F | epa: 56336-37,evViewPage,2021-08-02T22:36:32.855Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,8033-23-70506,Assail® 70WP Insecticide,,evViewHS,2021-08-02T22:36:38.937Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,HS Label,es,Assail® 70WP Insecticide | epa: 8033-23-70506,evViewPage,2021-08-02T22:36:39.534Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,HSLabel,Assail® 70WP Insecticide | epa: 8033-23-70506,Category: Product Information,evCategoryOpen,2021-08-02T22:36:57.325Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,HSLabel,Assail® 70WP Insecticide | epa: 8033-23-70506,Category: PPE,evCategoryOpen,2021-08-02T22:38:18.502Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,34704-447,Carbaryl 4L,,evViewHS,2021-08-02T22:41:24.081Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,HS Label,es,Carbaryl 4L | epa: 34704-447,evViewPage,2021-08-02T22:41:24.680Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,HSLabel,Carbaryl 4L | epa: 34704-447,Category: PPE,evCategoryOpen,2021-08-02T22:41:25.640Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,62719-621,Entrust® SC Naturalite®   Insect Control,,evViewHS,2021-08-02T22:44:38.881Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,HS Label,es,Entrust® SC Naturalite®   Insect Control | epa: 62719-621,evViewPage,2021-08-02T22:44:39.470Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,HSLabel,Entrust® SC Naturalite®   Insect Control | epa: 62719-621,Category: PPE,evCategoryOpen,2021-08-02T22:44:42.220Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,62719-541,Delegate® WG INSECTICIDE,,evViewHS,2021-08-02T22:45:49.612Z
