aid,appver,lg,qanswer,qno,ts
e271fd8a63bb61448e722e59c64f76a38ad8610cad8fd5f5fb7e41cb2ae26aab,1.0.14 (46),es,"Q2: false,true,true,true,true",2,2021-06-11T21:02:05.914Z
e271fd8a63bb61448e722e59c64f76a38ad8610cad8fd5f5fb7e41cb2ae26aab,1.0.14 (46),es,"Q3: true,true,false",3,2021-06-11T21:03:28.881Z
e271fd8a63bb61448e722e59c64f76a38ad8610cad8fd5f5fb7e41cb2ae26aab,1.0.14 (46),es,"Q4: false,true,true,true,false",4,2021-06-11T21:03:28.882Z
e271fd8a63bb61448e722e59c64f76a38ad8610cad8fd5f5fb7e41cb2ae26aab,1.0.14 (46),es,"Q5: true,false,false,true",5,2021-06-11T21:04:33.582Z
e271fd8a63bb61448e722e59c64f76a38ad8610cad8fd5f5fb7e41cb2ae26aab,1.0.14 (46),es,"Q6: true,false,false",6,2021-06-11T21:04:33.583Z
e271fd8a63bb61448e722e59c64f76a38ad8610cad8fd5f5fb7e41cb2ae26aab,1.0.14 (46),es,"Q7: true,false,false",7,2021-06-11T21:04:33.584Z
e5bd2684680b3dbc11d06ee5bdeaf9f78148f8d0d48c777442772a5bd8586bef,1.0.14 (46),es,Q5: n/a,5,2021-06-11T23:06:20.550Z
e5bd2684680b3dbc11d06ee5bdeaf9f78148f8d0d48c777442772a5bd8586bef,1.0.14 (46),es,Q7: n/a,7,2021-06-11T23:06:20.551Z
e5bd2684680b3dbc11d06ee5bdeaf9f78148f8d0d48c777442772a5bd8586bef,1.0.14 (46),es,Q6: n/a,6,2021-06-11T23:06:20.551Z
f713055a14e10a010b6df51aee5da98625d694126db33bcd8ec597a3a41d6d80,1.0.14 (46),es,Q3: n/a,3,2021-06-12T12:14:34.993Z
f713055a14e10a010b6df51aee5da98625d694126db33bcd8ec597a3a41d6d80,1.0.14 (46),es,Q4: n/a,4,2021-06-12T12:14:34.995Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,1.0.14 (46),es,"Q1: true,true,false,false,false,false",1,2021-06-13T15:13:45.672Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,1.0.14 (46),es,"Q2: false,false,false,false,false",2,2021-06-13T15:13:45.674Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,1.0.14 (46),es,"Q3: true,false,false",3,2021-06-13T15:35:12.678Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,1.0.14 (46),es,"Q4: true,true,true,true,false",4,2021-06-13T15:35:12.679Z
e60599d6d291c15e0550f465f0a5ab38fad0c74eeca6ea10f5e0e41f6196d15c,1.0.14 (46),en,Q1: n/a,1,2021-06-14T03:32:34.067Z
e60599d6d291c15e0550f465f0a5ab38fad0c74eeca6ea10f5e0e41f6196d15c,1.0.14 (46),en,Q2: n/a,2,2021-06-14T03:32:34.068Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.14 (46),en,Q1: n/a,1,2021-06-15T17:39:20.417Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.14 (46),en,Q2: n/a,2,2021-06-15T17:39:20.418Z
022f856cfb87cfe370b7500b61e44c4df64ace59e4f97a6f724ed787cc9cbff3,1.0.14 (46),en,Q1: n/a,1,2021-06-16T15:04:18.128Z
022f856cfb87cfe370b7500b61e44c4df64ace59e4f97a6f724ed787cc9cbff3,1.0.14 (46),en,Q2: n/a,2,2021-06-16T15:04:18.129Z
d0cd76e7a5de67ae184b2897fc671b3e75248e6ec66a48febea94d713ea989b6,1.0.14 (46),en,Q1: n/a,1,2021-06-17T21:15:52.400Z
d0cd76e7a5de67ae184b2897fc671b3e75248e6ec66a48febea94d713ea989b6,1.0.14 (46),en,Q2: n/a,2,2021-06-17T21:15:52.400Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.14 (46),en,Q3: n/a,3,2021-06-22T03:17:12.764Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.14 (46),en,Q4: n/a,4,2021-06-22T03:17:12.766Z
ff8355f80d6900b96bd6ab7ab5fccdc4c9d71ca34385ce635447131946d2dfdd,1.0.14 (46),en,"Q3: false,true,false",3,2021-06-23T18:57:32.820Z
ff8355f80d6900b96bd6ab7ab5fccdc4c9d71ca34385ce635447131946d2dfdd,1.0.14 (46),en,"Q4: true,true,true,false,false",4,2021-06-23T18:57:32.821Z
f713055a14e10a010b6df51aee5da98625d694126db33bcd8ec597a3a41d6d80,1.0.15 (48),es,Q5: n/a,5,2021-06-24T14:45:58.693Z
f713055a14e10a010b6df51aee5da98625d694126db33bcd8ec597a3a41d6d80,1.0.15 (48),es,Q6: n/a,6,2021-06-24T14:45:58.694Z
f713055a14e10a010b6df51aee5da98625d694126db33bcd8ec597a3a41d6d80,1.0.15 (48),es,Q7: n/a,7,2021-06-24T14:45:58.695Z
169c07213e2ec81da55520a291bb5f3110ad066959e562d90c557635331f244d,1.0.14 (46),es,Q1: n/a,1,2021-06-25T01:49:26.701Z
169c07213e2ec81da55520a291bb5f3110ad066959e562d90c557635331f244d,1.0.14 (46),es,Q2: n/a,2,2021-06-25T01:49:26.702Z
169c07213e2ec81da55520a291bb5f3110ad066959e562d90c557635331f244d,1.0.14 (46),es,"Q3: false,false,false",3,2021-06-25T04:00:03.687Z
169c07213e2ec81da55520a291bb5f3110ad066959e562d90c557635331f244d,1.0.14 (46),es,"Q4: false,false,false,false,false",4,2021-06-25T04:00:03.690Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.14 (46),es,Q1: n/a,1,2021-06-25T04:51:05.899Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.14 (46),es,Q2: n/a,2,2021-06-25T04:51:05.904Z
b8aa628b53233c60f6913898662391a5a3ff529a363d51eba517cdd33f74df52,1.0.14 (46),es,"Q1: true,true,false,false,false,false",1,2021-06-25T05:44:10.585Z
b8aa628b53233c60f6913898662391a5a3ff529a363d51eba517cdd33f74df52,1.0.14 (46),es,"Q2: false,true,true,false,false",2,2021-06-25T05:44:10.587Z
b8aa628b53233c60f6913898662391a5a3ff529a363d51eba517cdd33f74df52,1.0.14 (46),es,"Q3: true,false,false",3,2021-06-25T05:54:19.058Z
b8aa628b53233c60f6913898662391a5a3ff529a363d51eba517cdd33f74df52,1.0.14 (46),es,"Q4: true,true,true,true,false",4,2021-06-25T05:54:19.059Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.14 (46),es,"Q3: false,false,false",3,2021-06-25T22:20:15.060Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.14 (46),es,"Q4: false,false,false,false,false",4,2021-06-25T22:20:15.061Z
4e91ad34a1c9061f310dcc2d461dab397670270a58ec8717025438439176a41e,1.0.14 (46),en,Q1: n/a,1,2021-06-26T18:23:15.651Z
4e91ad34a1c9061f310dcc2d461dab397670270a58ec8717025438439176a41e,1.0.14 (46),en,Q2: n/a,2,2021-06-26T18:23:15.652Z
4e91ad34a1c9061f310dcc2d461dab397670270a58ec8717025438439176a41e,1.0.14 (46),en,Q3: n/a,3,2021-06-26T19:49:37.214Z
4e91ad34a1c9061f310dcc2d461dab397670270a58ec8717025438439176a41e,1.0.14 (46),en,Q4: n/a,4,2021-06-26T19:49:37.215Z
3c1b22ffd44818994c9dbcfbc157ad49170e36ee1a9a12915cf28044f21ae925,1.0.15 (48),es,"Q1: true,false,false,false,false,false",1,2021-06-28T10:51:26.016Z
3c1b22ffd44818994c9dbcfbc157ad49170e36ee1a9a12915cf28044f21ae925,1.0.15 (48),es,"Q2: false,true,false,false,false",2,2021-06-28T10:51:26.017Z
e6c8e435b50b47e61b78a1c470ff494033ed39dc16b02b042889a6c9d0a793c0,1.0.15 (48),en,"Q1: false,false,true,false,false,false",1,2021-06-28T16:53:27.903Z
e6c8e435b50b47e61b78a1c470ff494033ed39dc16b02b042889a6c9d0a793c0,1.0.15 (48),en,"Q2: false,false,true,false,false",2,2021-06-28T16:53:27.907Z
7beabc04dd9f3e93048050b0f5c221f68645e30d799d3cf6c84ad30a338d3b57,1.0.14 (46),es,Q1: n/a,1,2021-07-03T00:39:27.898Z
7beabc04dd9f3e93048050b0f5c221f68645e30d799d3cf6c84ad30a338d3b57,1.0.14 (46),es,Q2: n/a,2,2021-07-03T00:39:27.899Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.14 (46),en,"Q5: true,false,false,false",5,2021-07-03T04:51:31.154Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.14 (46),en,"Q7: true,false,false",7,2021-07-03T04:51:31.156Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,1.0.14 (46),en,"Q6: true,false,false",6,2021-07-03T04:51:31.156Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.14 (46),es,Q5: n/a,5,2021-07-03T13:52:45.573Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.14 (46),es,Q6: n/a,6,2021-07-03T13:52:45.574Z
eca4f1c06779d64b3c534e3dae776e2414192bfc64d30d77119f90aa67b1c29e,1.0.14 (46),es,Q7: n/a,7,2021-07-03T13:52:45.574Z
