aid,evDesc1,evDesc2,evDesc3,evType,ts
7b99e85c3f737223bc273ab28e32bb294b35ac8b44b24c11ca4be709998d5efb,QuestionPage1,es,,evViewPage,2021-10-03T00:13:55.892Z
7b99e85c3f737223bc273ab28e32bb294b35ac8b44b24c11ca4be709998d5efb,1.0.15 (49),"android,cordova,capacitor,mobile,hybrid,samsung,SM-A025A,android,11,android",n/a,evStart,2021-10-03T00:16:26.113Z
7b99e85c3f737223bc273ab28e32bb294b35ac8b44b24c11ca4be709998d5efb,Labels Search,es,,evViewPage,2021-10-03T00:16:26.445Z
7b99e85c3f737223bc273ab28e32bb294b35ac8b44b24c11ca4be709998d5efb,active => inactive,,,evStateChange,2021-10-03T00:18:06.327Z
cca79086e6ee463484bd0a1bb9d6ed7002bfb16e12f7f7ce55fc3ce0d0d09514,QuestionPage1,en,,evViewPage,2021-10-04T00:48:10.263Z
cca79086e6ee463484bd0a1bb9d6ed7002bfb16e12f7f7ce55fc3ce0d0d09514,1.0.15 (50),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.5.1,ios","(42.50380787038249,-113.72731767446334)",evStart,2021-10-04T00:48:13.711Z
cca79086e6ee463484bd0a1bb9d6ed7002bfb16e12f7f7ce55fc3ce0d0d09514,Labels Search,en,,evViewPage,2021-10-04T00:48:13.914Z
cca79086e6ee463484bd0a1bb9d6ed7002bfb16e12f7f7ce55fc3ce0d0d09514,Labels Search,en=>es,,evLanguageToggle,2021-10-04T00:48:39.371Z
cca79086e6ee463484bd0a1bb9d6ed7002bfb16e12f7f7ce55fc3ce0d0d09514,Labels Search,es=>en,,evLanguageToggle,2021-10-04T00:48:41.817Z
cca79086e6ee463484bd0a1bb9d6ed7002bfb16e12f7f7ce55fc3ce0d0d09514,Resources,en,,evViewPage,2021-10-04T00:48:59.951Z
cca79086e6ee463484bd0a1bb9d6ed7002bfb16e12f7f7ce55fc3ce0d0d09514,PICOL Search,en,,evViewPage,2021-10-04T00:49:01.191Z
