aid,evDesc1,evDesc2,evDesc3,evType,ts
d09a9f21881ffb06239427f3bc885ca9a43e8a4a4c8472d959f2c2a21453f203,QuestionPage1,en,,evViewPage,2022-01-01T04:48:13.664Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,QuestionPage2,en,,evViewPage,2022-01-01T09:40:36.207Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,1.0.15 (49),"android,phablet,cordova,capacitor,mobile,hybrid,samsung,SM-N960U,android,10,android","(47.22482484611727,-119.86380991794474)",evStart,2022-01-01T09:41:12.251Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,Labels Search,en,,evViewPage,2022-01-01T09:41:12.388Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,34704-447,Carbaryl 4L,,evViewHS,2022-01-01T09:41:27.584Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,HS Label,en,Carbaryl 4L | epa: 34704-447,evViewPage,2022-01-01T09:41:28.060Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,HSLabel,Carbaryl 4L | epa: 34704-447,Category: Pesticide Labels,evCategoryOpen,2022-01-01T09:41:33.176Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,34704-447,Carbaryl 4L,H&S,evDownloadLabel,2022-01-01T09:41:36.857Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,active => inactive,,,evStateChange,2022-01-01T09:41:43.770Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,inactive => active,,,evStateChange,2022-01-01T09:42:17.912Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,HSLabel,Carbaryl 4L | epa: 34704-447,Category: PPE,evCategoryOpen,2022-01-01T09:42:24.379Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,HSLabel,Carbaryl 4L | epa: 34704-447,Category: Health and Safety,evCategoryOpen,2022-01-01T09:42:32.878Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,HSLabel,Carbaryl 4L | epa: 34704-447,Category: First Aid,evCategoryOpen,2022-01-01T09:42:45.149Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,HSLabel,Carbaryl 4L | epa: 34704-447,Category: Producer Information,evCategoryOpen,2022-01-01T09:42:47.910Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,HSLabel,Carbaryl 4L | epa: 34704-447,Category: Product Information,evCategoryOpen,2022-01-01T09:42:50.186Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,34704-447,Carbaryl 4L,,evViewHS,2022-01-01T09:43:20.465Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,HS Label,en,Carbaryl 4L | epa: 34704-447,evViewPage,2022-01-01T09:43:20.842Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,2935-546,440 Superior Spray Oil,,evViewHS,2022-01-01T09:43:32.836Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,HS Label,en,440 Superior Spray Oil | epa: 2935-546,evViewPage,2022-01-01T09:43:33.206Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,HS Label,en=>es,,evLanguageToggle,2022-01-01T09:43:40.709Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,HSLabel,440 Superior Spray Oil | epa: 2935-546,Category: Product Information,evCategoryOpen,2022-01-01T09:43:43.119Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,2935-546,440 Superior Spray Oil,,evViewHS,2022-01-01T09:43:50.179Z
f1418264e07eb2964ebd5c4b313c26003e413f65a2ced5566e623c32300f1d76,HS Label,es,440 Superior Spray Oil | epa: 2935-546,evViewPage,2022-01-01T09:43:50.559Z
