aid,evDesc1,evDesc2,evDesc3,evType,ts
02c592ada61adc7616f823406cadbefcb3589dc5a62750089f160b9d9cc15370,1.0.15 (50),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,15.3.1,ios","(45.93259696472645,-119.63157907070557)",evStart,2022-03-01T02:29:59.614Z
02c592ada61adc7616f823406cadbefcb3589dc5a62750089f160b9d9cc15370,Labels Search,en,,evViewPage,2022-03-01T02:29:59.670Z
02c592ada61adc7616f823406cadbefcb3589dc5a62750089f160b9d9cc15370,active => inactive,,,evStateChange,2022-03-01T02:30:04.802Z
b08ab5e02719f102bc3ca3c7832e9fb0038cd641746b228978ee77215eb6abc0,QuestionPage1,es,,evViewPage,2022-03-01T23:00:53.587Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,QuestionPage1,en,,evViewPage,2022-03-02T01:16:39.352Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,1.0.15 (50),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.0.1,ios","(49.8480474555609,-119.44184135781448)",evStart,2022-03-02T01:16:51.302Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,Labels Search,en,,evViewPage,2022-03-02T01:16:51.369Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,More,en,,evViewPage,2022-03-02T01:17:03.099Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,Labels Search,en,,evViewPage,2022-03-02T01:17:06.046Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,62719-541,Delegate® WG INSECTICIDE,delegate,evViewHS,2022-03-02T01:17:12.701Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HS Label,en,Delegate® WG INSECTICIDE | epa: 62719-541,evViewPage,2022-03-02T01:17:13.337Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: Pesticide Labels,evCategoryOpen,2022-03-02T01:17:21.366Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: Product Information,evCategoryOpen,2022-03-02T01:17:28.678Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: Producer Information,evCategoryOpen,2022-03-02T01:17:36.618Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: Health and Safety,evCategoryOpen,2022-03-02T01:17:41.019Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,62719-541,Delegate® WG INSECTICIDE,H&S,evDownloadLabel,2022-03-02T01:17:57.771Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,active => inactive,,,evStateChange,2022-03-02T01:17:57.850Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,inactive => active,,,evStateChange,2022-03-02T01:18:08.454Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: First Aid,evCategoryOpen,2022-03-02T01:18:17.746Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: Physical or Chemical Hazards,evCategoryOpen,2022-03-02T01:18:31.538Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: Spray Drift Prevention,evCategoryOpen,2022-03-02T01:18:37.834Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: Product Information,evCategoryOpen,2022-03-02T01:19:03.963Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: Producer Information,evCategoryOpen,2022-03-02T01:19:22.456Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: First Aid,evCategoryOpen,2022-03-02T01:19:24.847Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: Health and Safety,evCategoryOpen,2022-03-02T01:19:32.974Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: PPE,evCategoryOpen,2022-03-02T01:19:38.740Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: Engineering Controls,evCategoryOpen,2022-03-02T01:19:42.333Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: Physical or Chemical Hazards,evCategoryOpen,2022-03-02T01:19:44.106Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: Storage and Disposal,evCategoryOpen,2022-03-02T01:19:45.253Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: Environmental Protection,evCategoryOpen,2022-03-02T01:19:49.239Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Delegate® WG INSECTICIDE | epa: 62719-541,Category: Spray Drift Prevention,evCategoryOpen,2022-03-02T01:19:52.066Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,62719-541,Delegate® WG INSECTICIDE,H&S Supplement,evDownloadLabel,2022-03-02T01:19:56.700Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,active => inactive,,,evStateChange,2022-03-02T01:19:56.763Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,inactive => active,,,evStateChange,2022-03-02T01:20:30.546Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,62719-541,Delegate® WG INSECTICIDE,H&S Supplement,evDownloadLabel,2022-03-02T01:20:30.998Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,active => inactive,,,evStateChange,2022-03-02T01:20:31.051Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,inactive => active,,,evStateChange,2022-03-02T01:20:41.937Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,More,en,,evViewPage,2022-03-02T01:20:48.401Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,Labels Search,en,,evViewPage,2022-03-02T01:20:50.414Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,active => inactive,,,evStateChange,2022-03-02T01:20:51.752Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,QuestionPage2,en,,evViewPage,2022-03-02T01:26:58.478Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,1.0.15 (50),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.0.1,ios","(49.84558035712119,-119.43960473279778)",evStart,2022-03-02T01:27:00.384Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,Labels Search,en,,evViewPage,2022-03-02T01:27:00.455Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,8033-23-70506,Assail® 70WP Insecticide,m,evViewHS,2022-03-02T01:27:31.698Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HS Label,en,Assail® 70WP Insecticide | epa: 8033-23-70506,evViewPage,2022-03-02T01:27:32.352Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Assail® 70WP Insecticide | epa: 8033-23-70506,Category: Product Information,evCategoryOpen,2022-03-02T01:27:33.582Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Assail® 70WP Insecticide | epa: 8033-23-70506,Category: First Aid,evCategoryOpen,2022-03-02T01:27:46.937Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Assail® 70WP Insecticide | epa: 8033-23-70506,Category: Health and Safety,evCategoryOpen,2022-03-02T01:27:51.289Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Assail® 70WP Insecticide | epa: 8033-23-70506,Category: PPE,evCategoryOpen,2022-03-02T01:28:38.971Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Assail® 70WP Insecticide | epa: 8033-23-70506,Category: Pesticide Labels,evCategoryOpen,2022-03-02T01:28:49.624Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,8033-23-70506,Assail® 70WP Insecticide,H&S,evDownloadLabel,2022-03-02T01:28:57.215Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,active => inactive,,,evStateChange,2022-03-02T01:28:57.286Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,inactive => active,,,evStateChange,2022-03-02T01:30:19.861Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,264-1090,Luna® SENSATION,m,evViewHS,2022-03-02T01:30:29.723Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HS Label,en,Luna® SENSATION | epa: 264-1090,evViewPage,2022-03-02T01:30:30.358Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,HSLabel,Luna® SENSATION | epa: 264-1090,Category: Product Information,evCategoryOpen,2022-03-02T01:30:32.417Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,active => inactive,,,evStateChange,2022-03-02T01:30:45.406Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,QuestionPage3,en,,evViewPage,2022-03-02T01:43:23.403Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,1.0.15 (50),"iphone,ios,cordova,capacitor,mobile,hybrid,Apple,iPhone,ios,14.0.1,ios","(49.84492369799225,-119.44110763565317)",evStart,2022-03-02T01:43:24.964Z
a6ebade52b19243e579344b14cdc3b1ee9602becaf0c1ade5c8511e55952428f,Labels Search,en,,evViewPage,2022-03-02T01:43:25.032Z
