aid,epaReg,prodName,sourcePage,evType,ts
cac0b0f2b77472235659579530aba6ff74333b3a6f8b53636f3bcfac0464ec2d,62719-541,Delegate® WG,H&S Supplement,evDownloadLabel,2021-01-25T22:45:21.411Z
cac0b0f2b77472235659579530aba6ff74333b3a6f8b53636f3bcfac0464ec2d,62719-282,ENTRUST,PICOL,evDownloadLabel,2021-01-25T22:48:32.674Z
cac0b0f2b77472235659579530aba6ff74333b3a6f8b53636f3bcfac0464ec2d,62719-621,ENTRUST SC NATURALYTE INSECT CONTROL,PICOL,evDownloadLabel,2021-01-25T22:49:20.681Z
1f7ee5b0c5c067fee205faae557da5a083d880095b6f3382c454c2ce77ec24d4,45002-8,AGRISTAR BASIC COPPER 53,PICOL,evDownloadLabel,2021-01-26T20:27:55.742Z
a75176cde322bb72860c37ffbde3e1c039f012c840e56127a59312a8485f9f0c,45002-8,AGRISTAR BASIC COPPER 53,PICOL,evDownloadLabel,2021-01-26T20:35:27.694Z
4ea53ffd22e8a69442efbd37b445ffe048dfed22f1fbf08f27cdf7db8ca86311,33270-21,"2,4-D /AMINE 4 HERBICIDE",PICOL,evDownloadLabel,2021-01-26T22:15:21.494Z
3bb70eb978349f7fbe8d2420fdbe9921bb4d97d65821f9332e98ae364a0b8c31,100-1431,GRAMOXONE SL 2.0 HERBICIDE,PICOL,evDownloadLabel,2021-01-26T22:22:13.012Z
6b9defb05dfc0199b1f7ef4bafc815338e328fc5935f57cb4ef2ae45e05820af,45002-8,AGRISTAR BASIC COPPER 53,PICOL,evDownloadLabel,2021-01-26T23:38:01.613Z
4ea53ffd22e8a69442efbd37b445ffe048dfed22f1fbf08f27cdf7db8ca86311,2935-546,440 SUPERIOR SPRAY OIL,PICOL,evDownloadLabel,2021-01-28T13:47:46.962Z
4ea53ffd22e8a69442efbd37b445ffe048dfed22f1fbf08f27cdf7db8ca86311,2935-546,440 SUPERIOR SPRAY OIL,PICOL,evDownloadLabel,2021-01-28T13:47:52.287Z
90cf9f983b38da220fb25f98f249d22cc3d35240893b9cd0f868acb633bed790,33270-21,"2,4-D /AMINE 4 HERBICIDE",PICOL,evDownloadLabel,2021-01-28T16:02:55.226Z
a022ea808a142a4d03a9b4eb3dfa74859a16241e510b3f56edbfdecf50ce8fae,352-834,DuPont™ Fontelis® FUNGICIDE,H&S,evDownloadLabel,2021-01-29T00:22:17.937Z
7684a8e4774b0ff9242b11266d1ccb56c3d841f1732849a04eade9eb9ab8bf70,73049-39,DiPel® DF Biological Insecticide Dry Flowable,H&S,evDownloadLabel,2021-01-29T03:28:58.966Z
104e150cfd3f29fd0712771d2d869c911c993eba44ebeddbbb71410d40b1a918,264-827,ADMIRE PRO SYSTEMIC PROTECTANT,PICOL,evDownloadLabel,2021-01-29T18:11:18.234Z
3bb70eb978349f7fbe8d2420fdbe9921bb4d97d65821f9332e98ae364a0b8c31,100-1431,GRAMOXONE SL 2.0 HERBICIDE,PICOL,evDownloadLabel,2021-01-29T21:24:50.021Z
3bb70eb978349f7fbe8d2420fdbe9921bb4d97d65821f9332e98ae364a0b8c31,100-1431,GRAMOXONE SL 2.0 HERBICIDE,PICOL,evDownloadLabel,2021-01-29T21:24:53.088Z
bb8e6c4d87a0c509cffd38c5b725f11459f461bba891a541e4e1fe6b5d4b28d0,59639-141,ADORN FUNGICIDE,PICOL,evDownloadLabel,2021-01-30T20:31:23.118Z
bb8e6c4d87a0c509cffd38c5b725f11459f461bba891a541e4e1fe6b5d4b28d0,100-1350,AGRI-FLEX MITICIDE/INSECTICIDE,PICOL,evDownloadLabel,2021-01-30T20:34:23.730Z
bb8e6c4d87a0c509cffd38c5b725f11459f461bba891a541e4e1fe6b5d4b28d0,100-1350,AGRI-FLEX MITICIDE/INSECTICIDE,PICOL,evDownloadLabel,2021-01-30T20:34:28.442Z
